x,pos_x,predicted_pos_x
2271,30.39829635620117,28.55118710658961
1059,9.58401584625244,10.198492360751985
246,22.33041954040528,21.965257572127072
1417,13.786457061767578,14.90197560591696
144,175.63150024414062,172.86499063022504
2712,3.705587148666382,4.535299413330861
1227,14.065718650817873,13.876810798733558
1820,9.104452133178713,9.424865101404436
1986,16.021677017211914,16.849451444105895
2341,5.578654766082764,5.17061288539341
1499,6.676076412200928,5.371983469002203
2746,19.049654006958008,20.2243621571736
1542,16.765350341796875,17.254684805859327
1677,21.207977294921875,20.998966875983854
2481,8.47780704498291,9.79364260230696
1102,9.34807300567627,10.048649175200723
2788,7.744682788848877,7.9908976891553465
1755,176.92135620117188,190.6999997970441
497,18.775535583496094,19.32815914758271
1698,27.23723793029785,27.05892314120588
1580,103.13450622558594,109.49582729672463
1304,12.64256477355957,12.55891643125733
1230,16.57538604736328,17.015978923040464
354,22.946304321289062,22.757578031321287
959,14.360958099365234,13.961361125265995
1365,6.885612964630127,6.57847716915596
619,12.491570472717283,12.396247442571436
1870,6.843046188354492,5.76351557619715
631,18.61478042602539,18.848384299781486
2510,6.307829856872559,5.586438622757825
1585,9.580893516540527,9.288675927656584
378,40.81333160400391,39.80845143844538
850,11.11477279663086,10.994550194109763
2102,23.556867599487305,24.793907478333026
302,10.886018753051758,11.05077273512957
194,37.49871063232422,36.49674569648664
1483,48.04920196533203,52.28840908940675
2794,3.938420295715332,4.00687059538005
2567,7.030187606811523,6.654160837734523
1671,13.00245475769043,13.24033100226842
458,10.592850685119627,10.17736865488007
2156,5.578639984130859,5.7196367397279175
1067,14.228551864624023,13.73949589761007
734,12.203202247619627,10.803743514566747
2212,10.280779838562012,11.721478461795371
1019,179.32431030273438,176.6642277870061
206,17.701438903808594,16.85678304990384
2584,4.355527877807617,5.582021820917831
741,99.95723724365234,105.78063387905058
2428,4.87353515625,4.690571975474896
2304,4.232463836669922,4.417305698571127
187,8.922661781311035,9.231860148449414
1978,33.12582015991211,32.72588623591733
2308,4.294168949127197,4.922940295974016
2633,37.97163772583008,38.07690958336447
1182,16.02855110168457,16.222515833978576
1300,6.491179466247559,6.522718339337928
2173,4.613804340362549,4.569299557423832
2547,20.116924285888672,20.19695175239123
465,27.4329833984375,27.12876623230281
372,14.055435180664062,13.94501979410397
1541,5.971853733062744,5.343391203952763
2716,5.116645812988281,5.268723267661983
1672,9.128329277038574,9.01424866164011
2519,5.44933557510376,5.329276300861196
2247,23.818115234375,24.357738534542875
1917,6.807884693145752,6.34383904768616
9,8.807544708251953,9.858103935822598
2097,5.671431064605713,5.569053660131104
943,13.709355354309082,13.20398151988772
2850,4.0221099853515625,3.8740956347632505
414,16.64655876159668,16.77487119304665
1323,38.644439697265625,40.056728749108714
1229,7.091776847839356,6.8548640780545895
350,25.012414932250977,26.662922473234417
2471,4.68341064453125,4.2244163599579
2593,7.221347332000732,7.049542120899801
530,14.115245819091797,13.872471370115619
2645,12.521484375,12.532324512179784
2550,6.076294422149658,6.444746962399648
2042,21.34820556640625,23.70502202706446
1786,7.760974407196045,8.251002607812737
2413,4.42439079284668,5.328420146614377
2257,4.482470989227295,4.305415806361907
1586,8.371282577514648,8.4738240954036
1247,7.318512439727783,6.777498987303559
2244,4.330039024353027,4.610333779609931
649,7.678483963012695,7.749200776908111
962,11.126924514770508,11.244761447463631
1937,14.040322303771973,13.928219615726888
2118,131.25253295898438,123.8921794851423
1623,16.703481674194336,14.970388044430663
1456,34.91511917114258,35.72720063838321
2019,4.941473007202148,4.969334326530486
910,13.86849880218506,13.956405843964589
719,10.5767822265625,11.678483409724919
1337,14.205436706542969,15.494065671199508
1980,5.374363899230957,5.314384042622265
2250,8.709990501403809,8.52124822019475
614,11.005038261413574,11.760969065802328
