x,pos_y,predicted_pos_y
2271,-56.95610046386719,-58.255548033751104
1059,-8.492143630981445,-8.769090825390975
246,-12.096195220947266,-11.891303234778889
1417,-15.110109329223633,-15.230385241026099
144,-89.15708923339844,-90.04873045998886
2712,-9.531352043151855,-10.256033392303308
1227,-13.767640113830566,-14.117678272191839
1820,-12.749621391296388,-12.05845598520591
1986,-24.90627098083496,-26.296209941115734
2341,-10.962909698486328,-10.994415202655958
1499,-7.685730457305908,-6.969615275238894
2746,-50.30830001831055,-53.23513329357562
1542,-19.80712890625,-18.833470817342146
1677,-27.194896697998047,-29.665103519618853
2481,-18.37581825256348,-18.292707486277124
1102,-8.496711730957031,-8.725708173720506
2788,-21.140491485595703,-21.429557858913583
1755,-237.98670959472656,-252.73146202857654
497,-11.883953094482422,-11.97152194716584
1698,-35.37765121459961,-37.20684709295621
1580,-124.67605590820312,-121.99168373991276
1304,-12.953664779663086,-12.720745905952285
1230,-16.253021240234375,-16.594605978936855
354,-13.29947280883789,-12.518297163357175
959,-11.992775917053224,-12.240100302354904
1365,-7.316003799438477,-7.12857900065184
619,-8.514362335205078,-8.626224110019479
1870,-9.886353492736816,-9.363659387598346
631,-12.780202865600586,-13.112521168304454
2510,-13.959641456604004,-14.700148976440133
1585,-11.617144584655762,-11.070096927900082
378,-24.009885787963867,-23.496278911404175
850,-8.700020790100098,-8.70163415226665
2102,-39.46080780029297,-37.60340383050067
302,-6.108118057250977,-5.737108633042126
194,-19.654090881347656,-18.319952378932655
1483,-54.78669738769531,-55.81069223249388
2794,-10.802002906799316,-9.885941678075724
2567,-16.216154098510742,-15.641318720677532
1671,-16.612010955810547,-16.135162876333965
458,-6.546581268310547,-6.387002536785971
2156,-9.681194305419922,-9.62405073601721
1067,-12.6674165725708,-12.758253322851544
734,-8.91311264038086,-8.402311259146416
2212,-18.515323638916016,-19.22669608086467
1019,-155.17420959472656,-149.4970426134218
206,-9.348878860473633,-9.831210637704473
2584,-10.17301082611084,-11.096549804824932
741,-73.31443786621094,-84.58138519997708
2428,-10.174163818359377,-10.25677966458835
2304,-8.109627723693848,-9.03479461629476
187,-4.655803680419922,-5.486052332671775
1978,-51.233516693115234,-49.0222475422017
2308,-8.250303268432617,-9.125381923792247
2633,-91.97806549072266,-83.91591145886048
1182,-15.27580738067627,-15.403013684000044
1300,-6.635109901428223,-7.1777981337514944
2173,-8.097078323364258,-8.435001313126804
2547,-45.72932815551758,-43.65350285770037
465,-17.02702522277832,-16.095861428602092
372,-8.237921714782715,-8.424632037876137
1541,-7.051087856292725,-6.619567021701329
2716,-13.201488494873049,-13.917233348049933
1672,-11.66952896118164,-11.28888445197893
2519,-12.138270378112791,-13.088942184975707
2247,-43.911617279052734,-41.39460962904066
1917,-10.13023281097412,-11.294669873978464
9,-4.095190048217773,-6.100775928541182
2097,-9.469518661499023,-8.970333660283842
943,-11.340489387512209,-10.228567003856185
2850,-11.540130615234377,-10.538995784926513
414,-10.013238906860352,-10.1835247626137
1323,-40.04545211791992,-41.96467699511604
1229,-6.949729442596436,-6.897156737587011
350,-14.46097469329834,-13.630027582376613
2471,-10.07927417755127,-10.053637414705591
2593,-16.97901725769043,-17.49127660768181
530,-9.11581039428711,-9.506248029257605
2645,-30.60513687133789,-29.645741705452807
2550,-13.842727661132812,-15.021067049689634
2042,-34.39859390258789,-34.45865323438299
1786,-10.641499519348145,-10.446179564441167
2413,-9.139799118041992,-8.99585331766177
2257,-8.319730758666992,-8.917228565646212
1586,-10.156598091125488,-9.769513284614419
1247,-7.248936176300049,-7.280775794219849
2244,-7.966897010803223,-9.306558051333766
649,-5.329258441925049,-5.839892571695287
962,-9.308592796325684,-9.689083767788489
1937,-21.15767288208008,-20.264280630720236
2118,-222.1710357666016,-235.23492106231666
1623,-20.72567749023437,-19.45776037243631
1456,-39.17128753662109,-41.78975353861229
2019,-7.845466613769531,-7.787768339684078
910,-11.249628067016602,-12.06623347297328
719,-7.656092643737793,-8.790476508610737
1337,-14.843632698059082,-14.768333773145528
1980,-8.32276439666748,-7.697178559723568
2250,-16.090330123901367,-16.3816104356044
614,-7.478514194488525,-7.6640011754212765
